OBJECTID,TILENAME,DOWNLOAD_P,AVAILABLE,COMMTYPE,YEAR,NOTE,TILENUM,FIPS6,TOWNGEOID,MEETS_STD,ORIG_P,SHAPE_Length,SHAPE_Area
1,Canaan,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Canaan.zip,Y,TOWN,2019-08-29,,CANAAN,9030,5000911800,Y, ,63085.3663352266,86133926.423019
2,Franklin,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Franklin.zip,Y,TOWN,2020-10-26,,FRANKLIN,11040,5001127100,Y, ,42591.2567543628,105852919.571943
3,Averill,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Averill.zip,Y,TOWN,2018-05-06, ,AVERILL,9005,5000902125,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/AVERILL/ORIG/VTPARCELS_AVERILL_2017.zip,39794.7676281077,98589185.0390946
4,Averys Gore,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Averys Gore.zip,Y,GORE,2018-05-06, ,AVERYSGORE,9010,5000902162,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/AVERYSGORE/ORIG/VTPARCELS_AVERYSGORE_2017.zip,30643.4706826886,47292690.029204
5,Warren Gore,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Warren Gore.zip,Y,GORE,2018-05-06, ,WARRENGORE,9095,5000976562,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/WARRENGORE/ORIG/VTPARCELS_WARRENGORE_2017.zip,22700.0354441407,26689895.3595464
6,Warners Grant,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Warners Grant.zip,Y,GRANT,2018-05-06, ,WARNERSGRANT,9090,5000976337,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/WARNERSGRANT/ORIG/VTPARCELS_WARNERSGRANT_2017.zip,14083.9302660956,8288807.99485071
7,Lewis,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Lewis.zip,Y,TOWN,2018-05-06, ,LEWIS,9065,5000939775,Y, ,40392.5598767474,101060097.720801
8,North Hero,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_North Hero.zip,Y,TOWN,2021-07-01,,NORTHHERO,13020,5001350650,Y, ,55473.7486262871,119147806.756252
9,Brownington,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Brownington.zip,Y,TOWN,2021-01-21,,BROWNINGTON,19015,5001909850,Y, ,35879.9585538927,73447021.8789971
10,Brighton,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Brighton.zip,Y,TOWN,2019-12-04,,BRIGHTON,9020,5000908725,Y, ,48133.1630393454,140748545.048248
11,Irasburg,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Irasburg.zip,Y,TOWN,2019-03-05,,IRASBURG,19055,5001935575,Y, ,41392.6016953298,104988421.12291
12,Saint Albans City,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Saint Albans City.zip,Y,CITY,2018-05-04, ,STALBANSCITY,11065,5001161675,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/STALBANSCITY/ORIG/VTPARCELS_STALBANSCITY_2017.zip,12235.8901230042,5074606.07053923
13,Ferdinand,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Ferdinand.zip,Y,TOWN,2018-05-06, ,FERDINAND,9045,5000925975,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/FERDINAND/ORIG/VTPARCELS_FERDINAND_2017.zip,55273.1210425638,137488290.292746
14,Georgia,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Georgia.zip,Y,TOWN,2019-08-13,,GEORGIA,11045,5001127700,Y, ,47293.6654908049,117203510.925361
15,Albany,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Albany.zip,Y,TOWN,2019-08-20,,ALBANY,19005,5001900475,Y, ,40183.4232717184,100957172.074649
16,Fairfax,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Fairfax.zip,Y,TOWN,2019-04-02,,FAIRFAX,11025,5001124925,Y, ,46170.7285540796,104431145.709229
17,Milton,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Milton.zip,Y,TOWN,2021-07-01,,MILTON,7050,5000745250,Y, ,54906.1007603323,157909638.698796
18,East Haven,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_East Haven.zip,Y,TOWN,2018-11-05,,EASTHAVEN,9040,5000921250,Y, ,39249.1088679857,96599833.0787001
